,date,open,high,low,close,flag
0,2024-05-14 11:00:00+05:30,54439.85,54529.66,54435.21,54517.37,0
1,2024-05-14 11:15:00+05:30,54514.04,54532.56,54459.49,54467.93,0
2,2024-05-14 11:30:00+05:30,54470.42,54504.53,54416.81,54470.71,0
3,2024-05-14 11:45:00+05:30,54470.33,54517.06,54440.14,54479.74,0
4,2024-05-14 12:00:00+05:30,54485.65,54523.21,54462.42,54484.99,0
5,2024-05-14 12:15:00+05:30,54489.97,54490.77,54424.02,54470.88,0
6,2024-05-14 12:30:00+05:30,54470.98,54518.69,54468.73,54470.17,0
7,2024-05-14 12:45:00+05:30,54473.82,54618.49,54459.99,54591.8,0
8,2024-05-14 13:00:00+05:30,54598.44,54638.52,54526.39,54526.39,0
9,2024-05-14 13:15:00+05:30,54528.9,54559.92,54480.41,54545.13,0
10,2024-05-14 13:30:00+05:30,54546.7,54580.97,54525.17,54569.25,0
11,2024-05-14 13:45:00+05:30,54572.16,54595.22,54548.02,54592.05,0
12,2024-05-14 14:00:00+05:30,54591.56,54635.02,54572.58,54581.41,0
13,2024-05-14 14:15:00+05:30,54584.96,54623.23,54469.59,54606.47,0
14,2024-05-14 14:30:00+05:30,54606.66,54611.76,54524.39,54537.02,0
15,2024-05-14 14:45:00+05:30,54536.76,54576.81,54530.39,54544.88,0
16,2024-05-14 15:00:00+05:30,54551.54,54585.03,54523.21,54565.96,0
17,2024-05-14 15:15:00+05:30,54564.72,54602.82,54521.53,54579.84,0
18,2024-05-15 09:15:00+05:30,54607.17,54693.44,54548.04,54590.53,0
19,2024-05-15 09:30:00+05:30,54591.78,54622.13,54518.72,54598.87,0
20,2024-05-15 09:45:00+05:30,54594.3,54672.46,54554.55,54560.39,0
21,2024-05-15 10:00:00+05:30,54560.29,54564.14,54397.85,54447.17,0
22,2024-05-15 10:15:00+05:30,54444.15,54492.67,54382.61,54391.21,0
23,2024-05-15 10:30:00+05:30,54398.34,54453.2,54372.83,54419.82,0
24,2024-05-15 10:45:00+05:30,54425.23,54457.49,54376.0,54434.86,0
25,2024-05-15 11:00:00+05:30,54437.73,54506.51,54436.94,54450.52,0
26,2024-05-15 11:15:00+05:30,54449.78,54503.6,54345.25,54346.03,0
